X	Y
0	0.000559
0.000991	0.00075
0.001982	0.000607
0.002973	0.000608
0.003963	0.000652
0.004954	0.000748
0.005945	0.000772
0.006936	0.000745
0.007927	0.000676
0.008918	0.000611
0.009909	0.000619
0.010899	0.0007
0.01189	0.000786
0.012881	0.000917
0.013872	0.000991
0.014863	0.001008
0.015854	0.000954
0.016845	0.0009
0.017835	0.000905
0.018826	0.000954
0.019817	0.001005
0.020808	0.001108
0.021799	0.00114
0.02279	0.001157
0.023781	0.001121
0.024771	0.001089
0.025762	0.001099
0.026753	0.001123
0.027744	0.001048
0.028735	0.000866
0.029726	0.000681
0.030717	0.000579
0.031707	0.000419
0.032698	0.000248
0.033689	0.000148
0.03468	0.000122
0.035671	0.000188
0.036662	0.000373
0.037653	0.00055
0.038643	0.000633
0.039634	0.000615
0.040625	0.000527
0.041616	0.000359
0.042607	0.000295
0.043598	0.000474
0.044589	0.000701
0.045579	0.000762
0.04657	0.000718
0.047561	0.000706
0.048552	0.000852
0.049543	0.001022
0.050534	0.001184
0.051525	0.001308
0.052515	0.001342
0.053506	0.001217
0.054497	0.001066
0.055488	0.000967
0.056479	0.000915
0.05747	0.000821
0.058461	0.000762
0.059451	0.000717
0.060442	0.000748
0.061433	0.00085
0.062424	0.000962
0.063415	0.001025
0.064406	0.001042
0.065397	0.001091
0.066387	0.001225
0.067378	0.001308
0.068369	0.001324
0.06936	0.001389
0.070351	0.001505
0.071342	0.001593
0.072333	0.001671
0.073323	0.001567
0.074314	0.001302
0.075305	0.001077
0.076296	0.001032
0.077287	0.001047
0.078278	0.001089
0.079269	0.001085
0.080259	0.000971
0.08125	0.000774
0.082241	0.000705
0.083232	0.000767
0.084223	0.000798
0.085214	0.000783
0.086205	0.000859
0.087195	0.001084
0.088186	0.001346
0.089177	0.001548
0.090168	0.00166
0.091159	0.001634
0.09215	0.001503
0.09314	0.001349
0.094131	0.00121
0.095122	0.001063
0.096113	0.000971
0.097104	0.000956
0.098095	0.000889
0.099086	0.00073
0.100076	0.000674
0.101067	0.000698
0.102058	0.0008
0.103049	0.00094
0.10404	0.001049
0.105031	0.001074
0.106022	0.001113
0.107012	0.001218
0.108003	0.001328
0.108994	0.001325
0.109985	0.001208
0.110976	0.00103
0.111967	0.000843
0.112958	0.000686
0.113948	0.000657
0.114939	0.000751
0.11593	0.000776
0.116921	0.000636
0.117912	0.000466
0.118903	0.000412
0.119894	0.000462
0.120884	0.000502
0.121875	0.000483
0.122866	0.000409
0.123857	0.000309
0.124848	0.000143
0.125839	0
0.12683	7E-06
0.12782	0.000117
0.128811	0.000261
0.129802	0.000469
0.130793	0.000711
0.131784	0.000912
0.132775	0.001078
0.133766	0.001245
0.134756	0.001327
0.135747	0.001304
0.136738	0.001182
0.137729	0.001025
0.13872	0.001
0.139711	0.001088
0.140702	0.001089
0.141692	0.001043
0.142683	0.001005
0.143674	0.001052
0.144665	0.00113
0.145656	0.001159
0.146647	0.001043
0.147638	0.000863
0.148628	0.000711
0.149619	0.000708
0.15061	0.000862
0.151601	0.001076
0.152592	0.001245
0.153583	0.001309
0.154574	0.00124
0.155564	0.001138
0.156555	0.001086
0.157546	0.001135
0.158537	0.001258
0.159528	0.001336
0.160519	0.001304
0.16151	0.001219
0.1625	0.001102
0.163491	0.001004
0.164482	0.000981
0.165473	0.001054
0.166464	0.001157
0.167455	0.001154
0.168446	0.001051
0.169436	0.001002
0.170427	0.000992
0.171418	0.000962
0.172409	0.000922
0.1734	0.000952
0.174391	0.001028
0.175382	0.001059
0.176372	0.001005
0.177363	0.00093
0.178354	0.000868
0.179345	0.000903
0.180336	0.001001
0.181327	0.001043
0.182318	0.000996
0.183308	0.000951
0.184299	0.00094
0.18529	0.000913
0.186281	0.000867
0.187272	0.000901
0.188263	0.000952
0.189254	0.000954
0.190244	0.000982
0.191235	0.001122
0.192226	0.001296
0.193217	0.001331
0.194208	0.001181
0.195199	0.001
0.19619	0.000873
0.19718	0.000745
0.198171	0.000549
0.199162	0.000375
0.200153	0.000381
0.201144	0.000493
0.202135	0.000587
0.203126	0.0007
0.204116	0.000859
0.205107	0.000981
0.206098	0.001006
0.207089	0.000933
0.20808	0.000783
0.209071	0.000677
0.210062	0.000662
0.211052	0.000713
0.212043	0.000775
0.213034	0.000792
0.214025	0.000776
0.215016	0.000849
0.216007	0.001058
0.216998	0.001254
0.217988	0.001335
0.218979	0.001345
0.21997	0.001271
0.220961	0.001113
0.221952	0.000957
0.222943	0.000872
0.223934	0.000827
0.224924	0.000793
0.225915	0.000757
0.226906	0.000729
0.227897	0.00067
0.228888	0.000542
0.229879	0.000457
0.23087	0.000552
0.23186	0.000739
0.232851	0.000883
0.233842	0.00094
0.234833	0.000947
0.235824	0.000963
0.236815	0.000982
0.237806	0.000943
0.238796	0.000798
0.239787	0.000632
0.240778	0.000617
0.241769	0.000725
0.24276	0.000838
0.243751	0.000895
0.244742	0.000887
0.245732	0.000817
0.246723	0.000736
0.247714	0.000725
0.248705	0.000762
0.249696	0.000783
0.250687	0.00081
0.251678	0.00086
0.252668	0.000953
0.253659	0.001094
0.25465	0.001213
0.255641	0.001268
0.256632	0.001253
0.257623	0.001142
0.258614	0.000986
0.259604	0.000854
0.260595	0.000815
0.261586	0.000872
0.262577	0.000929
0.263568	0.000964
0.264559	0.001025
0.26555	0.001131
0.26654	0.001269
0.267531	0.001383
0.268522	0.001445
0.269513	0.001457
0.270504	0.001406
0.271495	0.001336
0.272485	0.001346
0.273476	0.001405
0.274467	0.001426
0.275458	0.001392
0.276449	0.001328
0.27744	0.00127
0.278431	0.00122
0.279421	0.001122
0.280412	0.001017
0.281403	0.001036
0.282394	0.001166
0.283385	0.001253
0.284376	0.00123
0.285367	0.001241
0.286357	0.00137
0.287348	0.001501
0.288339	0.001591
0.28933	0.001675
0.290321	0.001712
0.291312	0.001653
0.292303	0.001447
0.293293	0.001132
0.294284	0.000895
0.295275	0.000764
0.296266	0.000701
0.297257	0.000723
0.298248	0.000783
0.299239	0.000775
0.300229	0.00067
0.30122	0.000598
0.302211	0.000622
0.303202	0.000659
0.304193	0.000661
0.305184	0.000679
0.306175	0.000674
0.307165	0.000634
0.308156	0.000601
0.309147	0.000655
0.310138	0.000844
0.311129	0.001079
0.31212	0.001204
0.313111	0.001194
0.314101	0.001095
0.315092	0.000867
0.316083	0.000517
0.317074	0.000312
0.318065	0.000391
0.319056	0.000587
0.320047	0.000707
0.321037	0.000698
0.322028	0.000608
0.323019	0.000518
0.32401	0.000494
0.325001	0.000557
0.325992	0.000615
0.326983	0.000615
0.327973	0.000652
0.328964	0.00078
0.329955	0.000909
0.330946	0.000956
0.331937	0.000899
0.332928	0.00076
0.333919	0.000587
0.334909	0.00051
0.3359	0.000536
0.336891	0.000655
0.337882	0.000802
0.338873	0.000937
0.339864	0.001053
0.340855	0.001137
0.341845	0.001105
0.342836	0.000938
0.343827	0.000774
0.344818	0.00077
0.345809	0.000865
0.3468	0.000971
0.347791	0.001102
0.348781	0.001293
0.349772	0.001412
0.350763	0.001384
0.351754	0.001278
0.352745	0.001159
0.353736	0.000982
0.354727	0.00084
0.355717	0.000861
0.356708	0.000961
0.357699	0.000982
0.35869	0.00091
0.359681	0.000806
0.360672	0.000747
0.361663	0.00067
0.362653	0.000628
0.363644	0.000657
0.364635	0.000727
0.365626	0.000816
0.366617	0.000913
0.367608	0.000983
0.368599	0.001033
0.369589	0.00109
0.37058	0.001117
0.371571	0.001011
0.372562	0.000836
0.373553	0.000714
0.374544	0.000679
0.375535	0.000655
0.376525	0.000644
0.377516	0.000631
0.378507	0.000586
0.379498	0.000584
0.380489	0.000675
0.38148	0.000726
0.382471	0.000734
0.383461	0.000788
0.384452	0.000893
0.385443	0.000994
0.386434	0.001047
0.387425	0.001074
0.388416	0.001128
0.389407	0.001121
0.390397	0.001057
0.391388	0.001022
0.392379	0.001014
0.39337	0.000971
0.394361	0.000861
0.395352	0.000704
