X	Y
1.570507	-0.036376
1.571498	-0.036461
1.572489	-0.036596
1.573480	-0.036725
1.574471	-0.036809
1.575462	-0.036797
1.576452	-0.036685
1.577443	-0.036592
1.578434	-0.036637
1.579425	-0.036760
1.580416	-0.036810
1.581407	-0.036732
1.582398	-0.036590
1.583388	-0.036420
1.584379	-0.036292
1.585370	-0.036249
1.586361	-0.036256
1.587352	-0.036280
1.588343	-0.036310
1.589334	-0.036340
1.590324	-0.036339
1.591315	-0.036275
1.592306	-0.036217
1.593297	-0.036188
1.594288	-0.036177
1.595279	-0.036243
1.596270	-0.036365
1.597260	-0.036447
1.598251	-0.036452
1.599242	-0.036395
1.600233	-0.036298
1.601224	-0.036178
1.602215	-0.036045
1.603206	-0.035927
1.604196	-0.035796
1.605187	-0.035646
1.606178	-0.035513
1.607169	-0.035356
1.608160	-0.035178
1.609151	-0.034961
1.610142	-0.034749
1.611132	-0.034572
1.612123	-0.034390
1.613114	-0.034182
1.614105	-0.033974
1.615096	-0.033793
1.616087	-0.033629
1.617078	-0.033483
1.618068	-0.033340
1.619059	-0.033147
1.620050	-0.032924
1.621041	-0.032743
1.622032	-0.032596
1.623023	-0.032456
1.624014	-0.032297
1.625004	-0.032098
1.625995	-0.031902
1.626986	-0.031759
1.627977	-0.031617
1.628968	-0.031414
1.629959	-0.031173
1.630950	-0.030999
1.631940	-0.030904
1.632931	-0.030787
1.633922	-0.030614
1.634913	-0.030455
1.635904	-0.030302
1.636895	-0.030140
1.637886	-0.029964
1.638876	-0.029833
1.639867	-0.029745
1.640858	-0.029599
1.641849	-0.029393
1.642840	-0.029246
1.643831	-0.029140
1.644822	-0.028962
1.645812	-0.028786
1.646803	-0.028670
1.647794	-0.028479
1.648785	-0.028266
1.649776	-0.028139
1.650767	-0.028011
1.651758	-0.027823
1.652748	-0.027672
1.653739	-0.027572
1.654730	-0.027430
1.655721	-0.027273
1.656712	-0.027130
1.657703	-0.027002
1.658694	-0.026904
1.659684	-0.026817
1.660675	-0.026706
1.661666	-0.026572
1.662657	-0.026430
1.663648	-0.026305
1.664639	-0.026182
1.665630	-0.026015
1.666620	-0.025855
1.667611	-0.025736
1.668602	-0.025622
1.669593	-0.025531
1.670584	-0.025441
1.671575	-0.025297
1.672566	-0.025141
1.673556	-0.025030
1.674547	-0.024921
1.675538	-0.024802
1.676529	-0.024695
1.677520	-0.024597
1.678511	-0.024466
1.679502	-0.024312
1.680492	-0.024202
1.681483	-0.024132
1.682474	-0.024030
1.683465	-0.023914
1.684456	-0.023798
1.685447	-0.023713
1.686438	-0.023641
1.687428	-0.023518
1.688419	-0.023368
1.689410	-0.023283
1.690401	-0.023228
1.691392	-0.023119
1.692383	-0.022971
1.693374	-0.022853
1.694364	-0.022736
1.695355	-0.022649
1.696346	-0.022592
1.697337	-0.022485
1.698328	-0.022332
1.699319	-0.022196
1.700310	-0.022078
1.701300	-0.021998
1.702291	-0.021940
1.703282	-0.021844
1.704273	-0.021723
1.705264	-0.021573
1.706255	-0.021445
1.707246	-0.021406
1.708236	-0.021336
1.709227	-0.021198
1.710218	-0.021080
1.711209	-0.021003
1.712200	-0.020918
1.713191	-0.020806
1.714182	-0.020704
1.715172	-0.020633
1.716163	-0.020537
1.717154	-0.020421
1.718145	-0.020314
1.719136	-0.020207
1.720127	-0.020093
1.721117	-0.019977
1.722108	-0.019890
1.723099	-0.019791
1.724090	-0.019640
1.725081	-0.019465
1.726072	-0.019310
1.727063	-0.019183
1.728053	-0.019065
1.729044	-0.018935
1.730035	-0.018799
1.731026	-0.018645
1.732017	-0.018475
1.733008	-0.018331
1.733999	-0.018232
1.734989	-0.018112
1.735980	-0.017931
1.736971	-0.017705
1.737962	-0.017476
1.738953	-0.017270
1.739944	-0.017087
1.740935	-0.016890
1.741925	-0.016688
1.742916	-0.016484
1.743907	-0.016289
1.744898	-0.016081
1.745889	-0.015846
